email,mentor,pre,post
smehaffey0@creativecommons.org,no,473,447
dbateman1@hao12@.com,no,536,450
bbenham2@xrea.com,yes,463,439
mwison@@g.co,no,559,448
jagostini4@wordpress.org,yes,489,447
kbridgnell5@webnode.com,yes,454,431
abotham6@usda.gov,yes,423,395
szeal7@pinterest.com,no,500,451
ikidby8@who.int,no,439,478
jciccone9@hatena.ne.jp,no,528,455
njaeggia@microsoft.com,no,473,430
sdesporteb@deviantart.com,no,468,437
kgoodbarc@blinklist.com,no,559,474
ktrevethand@ca.gov,no,494,424
clamswoode@yelp.com,no,528,490
brisbridgef@constantcontact.com,no,484,439
nsanchizg@nih.gov,yes,459,424
plovelessh@unicef.org,yes,528,437
dnoyei@ft.com,no,478,422
khowlingj@reuters.com,yes,559,424
dquinetk@51.la,no,454,431
nmorchl@arizona.edu,no,473,451
estoodleym@liveinternet.ru,yes,602,456
sstaresn@shutterfly.com,yes,459,421
snettleo@biblegateway.com,yes,576,463
hlennardep@zimbio.com,no,520,425
ptignerq@dailymotion.com,no,559,522
troser@ft.com,no,459,413
vturks@hugedomains.com,no,513,416
mcoultasst@goo.gl,yes,423,419
inajerau@nsw.gov.au,no,494,431
osandlandv@irs.gov,no,439,418
llyfieldw@symantec.com,yes,434,422
prydeardx@about.com,yes,434,414
gthalmanny@gmpg.org,yes,454,433
mantoschz@12@-reg.co.uk,no,484,450
aallsup10@opensource.org,yes,559,458
mollin11@prnewswire.com,no,459,445
epresser12@globo.com,no,506,439
scoddrington1@@printfriendly.com,no,576,476
jyakebovich14@purevolume.com,no,484,467
dtweede15@marriott.com,yes,434,416
cworstall16@e-recht24.de,no,528,480
bccomini17@archive.org,no,478,437
aspinelli18@imdb.com,no,602,465
ksneath19@instagram.com,yes,439,407
lbellworthy1a@goo.gl,no,547,487
sspong1b@irs.gov,no,489,425
dgotthardsf1c@blogspot.com,no,500,447
canstee1d@unicef.org,no,468,430
awarrick1e@who.int,no,547,480
bsmeath1f@cargocollective.com,no,513,440
jwisedale1g@blinklist.com,no,405,410
lgoodbur1h@posterous.com,no,506,413
amunden1i@prlog.org,yes,513,422
sblackesland1j@engadget.com,no,559,442
roxer1k@t-online.de,yes,547,461
ldominelli1l@dropbox.com,yes,454,421
kdron1m@marketwatch.com,yes,494,410
rdonati1n@ycombinator.com,no,626,465
fmcgahy1o@wikimedia.org,no,500,436
thuie1p@topsy.com,yes,449,398
lsayes1q@w@.org,no,528,442
bdrummond1r@auda.org.au,no,500,461
iadshed1s@mtv.com,yes,506,436
efritschel1t@yellowbook.com,no,473,428
rbartzen1u@tamu.edu,yes,444,411
ckarim1v@harvard.edu,no,459,436
ddahlbom1w@umich.edu,no,463,436
fclemenson1x@wikispaces.com,no,559,428
abuncher1y@alexa.com,no,536,472
sputton1z@ed.gov,yes,473,434
ddeverale20@nifty.com,no,500,443
dpetras21@macromedia.com,yes,520,424
tmenhci22@spotify.com,yes,473,418
esherwen2@@smh.com.au,yes,500,428
mmackain24@hostgator.com,yes,468,440
rsandercock25@hatena.ne.jp,no,513,436
hcrawcour26@ocn.ne.jp,no,506,433
kmatovic27@prnewswire.com,no,473,448
sfurmonger28@abc.net.au,yes,506,474
scheeld29@cornell.edu,yes,484,414
kfurzey2a@github.com,no,468,411
alambole2b@51.la,no,468,422
abaggalley2c@google.ca,no,412,395
nlockett2d@paypal.com,yes,459,407
pdemaid2e@nih.gov,no,506,472
yselbie2f@mit.edu,yes,463,402
schaperlin2g@foxnews.com,no,500,428
skrink2h@columbia.edu,no,463,413
stoleman2i@usa.gov,yes,468,443
smcveighty2j@ft.com,yes,434,418
mcruikshanks2k@japanpost.jp,yes,418,403
mwagge2l@illinois.edu,yes,484,442
bcoomes2m@cdbaby.com,yes,528,443
lbydaway2n@uol.com.br,no,494,410
dashdown2o@technorati.com,yes,439,403
cpeplay2p@woothemes.com,yes,489,433
dfaloon2q@google.es,no,528,422
jbeuscher2r@yellowbook.com,no,536,434
