email,cohort,pre,post
smehaffey0@creativecommons.org,1,473,447
dbateman1@hao12@.com,2,536,450
bbenham2@xrea.com,2,463,439
mwison@@g.co,3,559,448
jagostini4@wordpress.org,3,489,447
kbridgnell5@webnode.com,3,454,431
abotham6@usda.gov,1,423,395
szeal7@pinterest.com,1,500,451
ikidby8@who.int,1,439,478
jciccone9@hatena.ne.jp,2,528,455
njaeggia@microsoft.com,3,473,430
sdesporteb@deviantart.com,1,468,437
kgoodbarc@blinklist.com,3,559,474
ktrevethand@ca.gov,3,494,424
clamswoode@yelp.com,1,528,490
brisbridgef@constantcontact.com,2,484,439
nsanchizg@nih.gov,1,459,424
plovelessh@unicef.org,3,528,437
dnoyei@ft.com,3,478,422
khowlingj@reuters.com,1,559,424
dquinetk@51.la,1,454,431
nmorchl@arizona.edu,2,473,451
estoodleym@liveinternet.ru,2,602,456
sstaresn@shutterfly.com,2,459,421
snettleo@biblegateway.com,2,,463
hlennardep@zimbio.com,1,520,425
ptignerq@dailymotion.com,2,559,522
troser@ft.com,1,459,413
vturks@hugedomains.com,1,513,416
mcoultasst@goo.gl,1,423,419
inajerau@nsw.gov.au,2,494,431
osandlandv@irs.gov,1,439,418
llyfieldw@symantec.com,3,434,422
prydeardx@about.com,3,434,414
gthalmanny@gmpg.org,1,454,433
mantoschz@12@-reg.co.uk,3,484,450
aallsup10@opensource.org,1,559,458
mollin11@prnewswire.com,3,459,445
epresser12@globo.com,1,506,439
scoddrington1@@printfriendly.com,2,576,476
jyakebovich14@purevolume.com,3,484,467
dtweede15@marriott.com,3,434,416
cworstall16@e-recht24.de,1,528,
bccomini17@archive.org,2,478,437
aspinelli18@imdb.com,2,602,465
ksneath19@instagram.com,2,439,407
lbellworthy1a@goo.gl,2,547,487
sspong1b@irs.gov,1,489,425
dgotthardsf1c@blogspot.com,1,500,447
canstee1d@unicef.org,2,468,430
awarrick1e@who.int,1,547,480
bsmeath1f@cargocollective.com,3,513,440
jwisedale1g@blinklist.com,2,405,410
lgoodbur1h@posterous.com,1,506,413
amunden1i@prlog.org,1,513,422
sblackesland1j@engadget.com,2,559,442
roxer1k@t-online.de,3,547,461
ldominelli1l@dropbox.com,2,454,421
kdron1m@marketwatch.com,1,494,410
rdonati1n@ycombinator.com,3,626,465
fmcgahy1o@wikimedia.org,1,500,436
thuie1p@topsy.com,1,449,398
lsayes1q@w@.org,1,528,442
bdrummond1r@auda.org.au,1,500,461
iadshed1s@mtv.com,2,506,436
efritschel1t@yellowbook.com,1,473,428
rbartzen1u@tamu.edu,2,444,411
ckarim1v@harvard.edu,1,459,436
ddahlbom1w@umich.edu,3,,436
fclemenson1x@wikispaces.com,1,559,428
abuncher1y@alexa.com,3,536,472
sputton1z@ed.gov,3,473,434
ddeverale20@nifty.com,1,500,443
dpetras21@macromedia.com,3,520,424
tmenhci22@spotify.com,2,473,418
esherwen2@@smh.com.au,1,500,428
mmackain24@hostgator.com,1,468,440
rsandercock25@hatena.ne.jp,1,513,436
hcrawcour26@ocn.ne.jp,1,506,433
kmatovic27@prnewswire.com,1,473,448
sfurmonger28@abc.net.au,1,506,474
scheeld29@cornell.edu,2,484,
kfurzey2a@github.com,2,468,411
alambole2b@51.la,1,468,422
abaggalley2c@google.ca,2,412,395
nlockett2d@paypal.com,3,459,407
pdemaid2e@nih.gov,1,506,472
yselbie2f@mit.edu,1,463,402
schaperlin2g@foxnews.com,3,500,428
skrink2h@columbia.edu,1,463,413
stoleman2i@usa.gov,2,468,443
smcveighty2j@ft.com,3,434,418
mcruikshanks2k@japanpost.jp,2,418,403
mwagge2l@illinois.edu,2,484,442
bcoomes2m@cdbaby.com,3,528,443
lbydaway2n@uol.com.br,2,494,410
dashdown2o@technorati.com,3,,403
cpeplay2p@woothemes.com,2,489,433
dfaloon2q@google.es,1,528,422
jbeuscher2r@yellowbook.com,2,536,434
